Entity,Code,Year,Ozone concentration-StateofGlobalAir
Argentina,ARG,2013,40
Armenia,ARM,2013,62
Australia,AUS,2013,36
Austria,AUT,2013,59
Azerbaijan,AZE,2013,59
Bahamas,BHS,2013,49
Bahrain,BHR,2013,106
Bangladesh,BGD,2013,72
Barbados,BRB,2013,39
Belarus,BLR,2013,51
Belgium,BEL,2013,54
Belize,BLZ,2013,46
Benin,BEN,2013,71
Bhutan,BTN,2013,67
Bolivia,BOL,2013,61
Bosnia and Herzegovina,BIH,2013,65
Botswana,BWA,2013,58
Brazil,BRA,2013,52
Brunei,BRN,2013,39
Bulgaria,BGR,2013,65
Burkina Faso,BFA,2013,52
Burundi,BDI,2013,53
Cambodia,KHM,2013,49
Cameroon,CMR,2013,67
Canada,CAN,2013,57
Cape Verde,CPV,2013,43
Central African Republic,CAF,2013,78
Chad,TCD,2013,60
Chile,CHL,2013,43
China,CHN,2013,64
Colombia,COL,2013,47
Comoros,COM,2013,41
Congo,COG,2013,62
Costa Rica,CRI,2013,41
Cote d'Ivoire,CIV,2013,61
Croatia,HRV,2013,65
Cuba,CUB,2013,48
Cyprus,CYP,2013,68
Czechia,CZE,2013,58
Democratic Republic of Congo,COD,2013,63
Denmark,DNK,2013,50
Djibouti,DJI,2013,47
Dominica,DMA,2013,41
Dominican Republic,DOM,2013,45
Ecuador,ECU,2013,40
Egypt,EGY,2013,70
El Salvador,SLV,2013,57
Equatorial Guinea,GNQ,2013,53
Eritrea,ERI,2013,47
Estonia,EST,2013,48
Eswatini,SWZ,2013,51
Ethiopia,ETH,2013,51
Fiji,FJI,2013,36
Finland,FIN,2013,47
France,FRA,2013,57
Gabon,GAB,2013,51
Gambia,GMB,2013,46
Georgia,GEO,2013,59
Germany,DEU,2013,55
Ghana,GHA,2013,66
Greece,GRC,2013,70
Greenland,GRL,2013,34
Grenada,GRD,2013,39
Guatemala,GTM,2013,57
Guinea,GIN,2013,60
Guinea-Bissau,GNB,2013,52
Guyana,GUY,2013,32
Haiti,HTI,2013,47
Honduras,HND,2013,45
Hungary,HUN,2013,61
Iceland,ISL,2013,45
India,IND,2013,74
Indonesia,IDN,2013,43
Iran,IRN,2013,74
Iraq,IRQ,2013,75
Ireland,IRL,2013,48
Israel,ISR,2013,71
Italy,ITA,2013,75
Jamaica,JAM,2013,44
Japan,JPN,2013,61
Jordan,JOR,2013,73
Kazakhstan,KAZ,2013,52
Kenya,KEN,2013,42
Kuwait,KWT,2013,83
Kyrgyzstan,KGZ,2013,65
Laos,LAO,2013,61
Latvia,LVA,2013,49
Lebanon,LBN,2013,71
Lesotho,LSO,2013,55
Liberia,LBR,2013,55
Libya,LBY,2013,61
Lithuania,LTU,2013,51
Luxembourg,LUX,2013,55
Madagascar,MDG,2013,40
Malawi,MWI,2013,52
Malaysia,MYS,2013,48
Maldives,MDV,2013,62
Mali,MLI,2013,50
Malta,MLT,2013,69
Marshall Islands,MHL,2013,25
Mauritania,MRT,2013,44
Mauritius,MUS,2013,40
Mexico,MEX,2013,60
Micronesia (country),FSM,2013,33
Moldova,MDA,2013,58
Mongolia,MNG,2013,49
Montenegro,MNE,2013,64
Morocco,MAR,2013,59
Mozambique,MOZ,2013,47
Myanmar,MMR,2013,78
Namibia,NAM,2013,60
Nepal,NPL,2013,76
Netherlands,NLD,2013,53
New Zealand,NZL,2013,35
Nicaragua,NIC,2013,41
Niger,NER,2013,52
Nigeria,NGA,2013,67
North Korea,PRK,2013,69
North Macedonia,MKD,2013,67
Norway,NOR,2013,45
Oman,OMN,2013,78
Pakistan,PAK,2013,68
Palestine,PSE,2013,72
Panama,PAN,2013,42
Papua New Guinea,PNG,2013,29
Paraguay,PRY,2013,55
Peru,PER,2013,44
Philippines,PHL,2013,40
Poland,POL,2013,56
Portugal,PRT,2013,55
Qatar,QAT,2013,115
Romania,ROU,2013,59
Russia,RUS,2013,48
Rwanda,RWA,2013,52
Saint Lucia,LCA,2013,40
Saint Vincent and the Grenadines,VCT,2013,40
Samoa,WSM,2013,31
Sao Tome and Principe,STP,2013,54
Saudi Arabia,SAU,2013,69
Senegal,SEN,2013,45
Serbia,SRB,2013,61
Seychelles,SYC,2013,34
Sierra Leone,SLE,2013,58
Singapore,SGP,2013,54
Slovakia,SVK,2013,60
Slovenia,SVN,2013,64
Solomon Islands,SLB,2013,28
Somalia,SOM,2013,40
South Africa,ZAF,2013,53
South Korea,KOR,2013,67
South Sudan,SSD,2013,64
Spain,ESP,2013,62
Sri Lanka,LKA,2013,53
Sudan,SDN,2013,51
Suriname,SUR,2013,34
Sweden,SWE,2013,46
Switzerland,CHE,2013,59
Syria,SYR,2013,70
Taiwan,TWN,2013,68
Tajikistan,TJK,2013,64
Tanzania,TZA,2013,47
Thailand,THA,2013,58
Timor-Leste,,2013,37
Togo,TGO,2013,72
Tonga,TON,2013,39
Trinidad and Tobago,TTO,2013,39
Tunisia,TUN,2013,67
Turkey,TUR,2013,67
Turkmenistan,TKM,2013,58
Uganda,UGA,2013,51
Ukraine,UKR,2013,57
United Arab Emirates,ARE,2013,102
United Kingdom,GBR,2013,49
United States,USA,2013,67
Uruguay,URY,2013,38
Uzbekistan,UZB,2013,63
Vanuatu,VUT,2013,37
Venezuela,VEN,2013,47
Vietnam,VNM,2013,54
Yemen,YEM,2013,53
Zambia,ZMB,2013,63
Zimbabwe,ZWE,2013,57
Afghanistan,AFG,2015,63
Albania,ALB,2015,68
Algeria,DZA,2015,70
Andorra,AND,2015,59
Angola,AGO,2015,88
Antigua and Barbuda,ATG,2015,41
Argentina,ARG,2015,40
Armenia,ARM,2015,62
Australia,AUS,2015,36
Austria,AUT,2015,59
Azerbaijan,AZE,2015,59
Bahamas,BHS,2015,49
Bahrain,BHR,2015,107
Bangladesh,BGD,2015,74
Barbados,BRB,2015,39
Belarus,BLR,2015,51
Belgium,BEL,2015,54
Belize,BLZ,2015,46
Benin,BEN,2015,71
Bhutan,BTN,2015,69
Bolivia,BOL,2015,62
Bosnia and Herzegovina,BIH,2015,64
Botswana,BWA,2015,59
Brazil,BRA,2015,53
Brunei,BRN,2015,40
Bulgaria,BGR,2015,65
Burkina Faso,BFA,2015,52
Burundi,BDI,2015,53
Cambodia,KHM,2015,50
Cameroon,CMR,2015,67
Canada,CAN,2015,57
Cape Verde,CPV,2015,43
Central African Republic,CAF,2015,77
Chad,TCD,2015,60
Chile,CHL,2015,43
China,CHN,2015,65
Colombia,COL,2015,48
Comoros,COM,2015,42
Congo,COG,2015,62
Costa Rica,CRI,2015,41
Cote d'Ivoire,CIV,2015,61
Croatia,HRV,2015,65
Cuba,CUB,2015,48
Cyprus,CYP,2015,68
Czechia,CZE,2015,58
Democratic Republic of Congo,COD,2015,63
Denmark,DNK,2015,50
Djibouti,DJI,2015,48
Dominica,DMA,2015,41
Dominican Republic,DOM,2015,45
Ecuador,ECU,2015,41
Egypt,EGY,2015,70
El Salvador,SLV,2015,57
Equatorial Guinea,GNQ,2015,53
Eritrea,ERI,2015,47
Estonia,EST,2015,48
Eswatini,SWZ,2015,51
Ethiopia,ETH,2015,51
Fiji,FJI,2015,36
Finland,FIN,2015,46
France,FRA,2015,57
Gabon,GAB,2015,51
Gambia,GMB,2015,46
Georgia,GEO,2015,59
Germany,DEU,2015,55
Ghana,GHA,2015,66
Greece,GRC,2015,69
Greenland,GRL,2015,34
Grenada,GRD,2015,39
Guatemala,GTM,2015,57
Guinea,GIN,2015,60
Guinea-Bissau,GNB,2015,52
Guyana,GUY,2015,32
Haiti,HTI,2015,47
Honduras,HND,2015,45
Hungary,HUN,2015,61
Iceland,ISL,2015,45
India,IND,2015,76
Indonesia,IDN,2015,44
Iran,IRN,2015,74
Iraq,IRQ,2015,75
Ireland,IRL,2015,48
Israel,ISR,2015,71
Italy,ITA,2015,74
Jamaica,JAM,2015,44
Japan,JPN,2015,61
Jordan,JOR,2015,73
Kazakhstan,KAZ,2015,52
Kenya,KEN,2015,42
Kuwait,KWT,2015,83
Kyrgyzstan,KGZ,2015,65
Laos,LAO,2015,62
Latvia,LVA,2015,49
Lebanon,LBN,2015,71
Lesotho,LSO,2015,55
Liberia,LBR,2015,55
Libya,LBY,2015,61
Lithuania,LTU,2015,51
Luxembourg,LUX,2015,54
Madagascar,MDG,2015,40
Malawi,MWI,2015,53
Malaysia,MYS,2015,48
Maldives,MDV,2015,64
Mali,MLI,2015,50
Malta,MLT,2015,69
Marshall Islands,MHL,2015,25
Mauritania,MRT,2015,44
Mauritius,MUS,2015,40
Mexico,MEX,2015,59
Micronesia (country),FSM,2015,33
Moldova,MDA,2015,58
Mongolia,MNG,2015,49
Montenegro,MNE,2015,64
Morocco,MAR,2015,58
Mozambique,MOZ,2015,48
Myanmar,MMR,2015,81
Namibia,NAM,2015,61
Nepal,NPL,2015,78
Netherlands,NLD,2015,53
New Zealand,NZL,2015,35
Nicaragua,NIC,2015,41
Niger,NER,2015,52
Nigeria,NGA,2015,67
North Korea,PRK,2015,70
North Macedonia,MKD,2015,66
Norway,NOR,2015,45
Oman,OMN,2015,78
Pakistan,PAK,2015,69
Palestine,PSE,2015,72
Panama,PAN,2015,43
Papua New Guinea,PNG,2015,29
Paraguay,PRY,2015,57
Peru,PER,2015,45
Philippines,PHL,2015,40
Poland,POL,2015,55
Portugal,PRT,2015,54
Qatar,QAT,2015,116
Romania,ROU,2015,59
Russia,RUS,2015,48
Rwanda,RWA,2015,52
Saint Lucia,LCA,2015,40
Saint Vincent and the Grenadines,VCT,2015,39
Samoa,WSM,2015,31
Sao Tome and Principe,STP,2015,55
Saudi Arabia,SAU,2015,69
Senegal,SEN,2015,45
Serbia,SRB,2015,61
Seychelles,SYC,2015,34
Sierra Leone,SLE,2015,58
Singapore,SGP,2015,56
Slovakia,SVK,2015,60
Slovenia,SVN,2015,64
Solomon Islands,SLB,2015,28
Somalia,SOM,2015,40
South Africa,ZAF,2015,53
South Korea,KOR,2015,68
South Sudan,SSD,2015,64
Spain,ESP,2015,61
Sri Lanka,LKA,2015,54
Sudan,SDN,2015,51
Suriname,SUR,2015,34
Sweden,SWE,2015,46
Switzerland,CHE,2015,59
Syria,SYR,2015,70
Taiwan,TWN,2015,69
Tajikistan,TJK,2015,64
Tanzania,TZA,2015,47
Thailand,THA,2015,59
Timor-Leste,,2015,37
Togo,TGO,2015,72
Tonga,TON,2015,39
Trinidad and Tobago,TTO,2015,39
Tunisia,TUN,2015,67
Turkey,TUR,2015,67
Turkmenistan,TKM,2015,59
Uganda,UGA,2015,51
Ukraine,UKR,2015,57
United Arab Emirates,ARE,2015,102
United Kingdom,GBR,2015,49
United States,USA,2015,67
Uruguay,URY,2015,38
Uzbekistan,UZB,2015,63
Vanuatu,VUT,2015,37
Venezuela,VEN,2015,48
Vietnam,VNM,2015,56
Yemen,YEM,2015,54
Zambia,ZMB,2015,64
Zimbabwe,ZWE,2015,57
