Entity,Code,Year,Wind per capita (kWh - equivalent)
Colombia,COL,2012,3.2852798
China,CHN,2012,206.76445
Chile,CHL,2012,64.5708
Switzerland,CHE,2012,30.17736
Canada,CAN,2012,894.024
Brazil,BRA,2012,69.241585
Belarus,BLR,2012,1.6963959
Bulgaria,BGR,2012,447.08176
Bangladesh,BGD,2012,0.09186772
Belgium,BEL,2012,683.79736
Azerbaijan,AZE,2012,0
Austria,AUT,2012,800.83185
Australia,AUS,2012,931.9019
Argentina,ARG,2012,24.173553
United Arab Emirates,ARE,2012,0
South Africa,ZAF,2011,1.946297
Vietnam,VNM,2011,1.270836
Venezuela,VEN,2011,0
Uzbekistan,UZB,2011,0
United States,USA,2011,1066.8984
Ukraine,UKR,2011,5.4244437
Taiwan,TWN,2011,177.92705
Turkey,TUR,2011,175.69005
Trinidad and Tobago,TTO,2011,0
Turkmenistan,TKM,2011,0
Thailand,THA,2011,0.20091665
Sweden,SWE,2011,1771.0387
Slovenia,SVN,2011,0
Slovakia,SVK,2011,2.5553133
Singapore,SGP,2011,0
Saudi Arabia,SAU,2011,0
Russia,RUS,2011,0.10365959
Romania,ROU,2011,189.22847
Qatar,QAT,2011,0
Portugal,PRT,2011,2392.3542
Poland,POL,2011,228.93045
Philippines,PHL,2011,2.5257392
Peru,PER,2011,0.11213741
Pakistan,PAK,2011,0
Oman,OMN,2011,0
New Zealand,NZL,2011,1232.3563
Norway,NOR,2011,714.5064
Netherlands,NLD,2011,842.4174
Malaysia,MYS,2011,0
North Macedonia,MKD,2011,0
Mexico,MEX,2011,39.83469
Morocco,MAR,2011,58.034214
Latvia,LVA,2011,94.30279
Luxembourg,LUX,2011,340.96786
Lithuania,LTU,2011,422.7243
Sri Lanka,LKA,2011,12.116597
Kuwait,KWT,2011,0
South Korea,KOR,2011,48.41173
Kazakhstan,KAZ,2011,0.024047287
Japan,JPN,2011,96.09576
Italy,ITA,2011,452.97745
Israel,ISR,2011,2.5879629
Iceland,ISL,2011,0.06855102
Iraq,IRQ,2011,0
Iran,IRN,2011,7.6606236
Ireland,IRL,2011,2659.465
India,IND,2011,52.540554
Indonesia,IDN,2011,0.052385513
Hungary,HUN,2011,173.50296
Croatia,HRV,2011,127.415
Hong Kong,HKG,2011,0.33370325
Greece,GRC,2011,831.0008
United Kingdom,GBR,2011,695.82635
France,FRA,2011,529.6242
Finland,FIN,2011,246.46878
Estonia,EST,2011,764.7719
Spain,ESP,2011,2505.027
Egypt,EGY,2011,46.22986
Ecuador,ECU,2011,0.6052227
Algeria,DZA,2011,0
Denmark,DNK,2011,4835.6377
Germany,DEU,2011,1689.1737
Czechia,CZE,2011,104.28683
Cyprus,CYP,2011,274.63928
Colombia,COL,2011,2.512862
China,CHN,2011,150.62779
Chile,CHL,2011,54.229248
Switzerland,CHE,2011,24.409824
Canada,CAN,2011,818.8771
Brazil,BRA,2011,37.649227
Belarus,BLR,2011,1.1360664
Bulgaria,BGR,2011,314.8828
Bangladesh,BGD,2011,0.093572065
Belgium,BEL,2011,582.1613
Azerbaijan,AZE,2011,0
Austria,AUT,2011,636.5485
Australia,AUS,2011,793.6504
Argentina,ARG,2011,1.7666874
United Arab Emirates,ARE,2011,0
South Africa,ZAF,2010,1.8223394
Vietnam,VNM,2010,1.2923555
Venezuela,VEN,2010,0
Uzbekistan,UZB,2010,0
United States,USA,2010,852.7734
Ukraine,UKR,2010,3.0378654
Taiwan,TWN,2010,123.4099
Turkey,TUR,2010,110.59146
Trinidad and Tobago,TTO,2010,0
Turkmenistan,TKM,2010,0
Thailand,THA,2010,0.15949628
Sweden,SWE,2010,1036.0653
Slovenia,SVN,2010,0
Slovakia,SVK,2010,3.0884626
Singapore,SGP,2010,0
Saudi Arabia,SAU,2010,0
Russia,RUS,2010,0.08105907
Romania,ROU,2010,41.76633
Qatar,QAT,2010,0
Portugal,PRT,2010,2406.9136
Poland,POL,2010,119.660095
Philippines,PHL,2010,1.8100829
Peru,PER,2010,0.11403975
Pakistan,PAK,2010,0
Oman,OMN,2010,0
New Zealand,NZL,2010,1045.5016
Norway,NOR,2010,498.9489
Netherlands,NLD,2010,666.9652
Malaysia,MYS,2010,0
North Macedonia,MKD,2010,0
Mexico,MEX,2010,30.562313
Morocco,MAR,2010,56.324005
Latvia,LVA,2010,64.716125
Luxembourg,LUX,2010,301.50812
Lithuania,LTU,2010,198.06485
Sri Lanka,LKA,2010,7.139051
Kuwait,KWT,2010,0
South Korea,KOR,2010,46.452946
Kazakhstan,KAZ,2010,0
Japan,JPN,2010,85.056274
Italy,ITA,2010,423.41385
Israel,ISR,2010,3.0285363
Iceland,ISL,2010,0
Iraq,IRQ,2010,0
Iran,IRN,2010,6.2232814
Ireland,IRL,2010,1726.9476
India,IND,2010,43.52908
Indonesia,IDN,2010,0.041436233
Hungary,HUN,2010,146.46587
Croatia,HRV,2010,88.3117
Hong Kong,HKG,2010,0.40503532
Greece,GRC,2010,682.7142
United Kingdom,GBR,2010,454.8852
France,FRA,2010,442.04218
Finland,FIN,2010,152.30473
Estonia,EST,2010,577.4053
Spain,ESP,2010,2603.26
Egypt,EGY,2010,44.826134
Ecuador,ECU,2010,0.6356267
Algeria,DZA,2010,0
Denmark,DNK,2010,3904.9275
Germany,DEU,2010,1315.587
Czechia,CZE,2010,88.98322
Cyprus,CYP,2010,76.164986
Colombia,COL,2010,2.388737
China,CHN,2010,101.701096
Chile,CHL,2010,53.102753
Switzerland,CHE,2010,13.1284275
Canada,CAN,2010,712.9637
Brazil,BRA,2010,30.766998
Belarus,BLR,2010,0.2851586
Bulgaria,BGR,2010,248.95966
Bangladesh,BGD,2010,0.09546841
Belgium,BEL,2010,329.66214
Azerbaijan,AZE,2010,0.15035816
Austria,AUT,2010,685.0021
Australia,AUS,2010,628.3735
Argentina,ARG,2010,1.7120453
United Arab Emirates,ARE,2010,0
South Africa,ZAF,2009,1.6372898
Vietnam,VNM,2009,0.37458906
Venezuela,VEN,2009,0
Uzbekistan,UZB,2009,0
United States,USA,2009,675.58777
Ukraine,UKR,2009,2.6183274
Taiwan,TWN,2009,95.33232
Turkey,TUR,2009,57.820705
Trinidad and Tobago,TTO,2009,0
Turkmenistan,TKM,2009,0
Thailand,THA,2009,0.041371543
Sweden,SWE,2009,746.11127
Slovenia,SVN,2009,0
Slovakia,SVK,2009,3.1082215
Singapore,SGP,2009,0
Saudi Arabia,SAU,2009,0
Russia,RUS,2009,0.07411875
Romania,ROU,2009,1.2283053
Qatar,QAT,2009,0
Portugal,PRT,2009,1997.8943
Poland,POL,2009,78.01137
Philippines,PHL,2009,1.9358234
Peru,PER,2009,0.11586312
Pakistan,PAK,2009,0
Oman,OMN,2009,0
New Zealand,NZL,2009,958.27124
Norway,NOR,2009,564.99677
Netherlands,NLD,2009,774.05505
Malaysia,MYS,2009,0
North Macedonia,MKD,2009,0
Mexico,MEX,2009,14.9973
Morocco,MAR,2009,34.086502
Latvia,LVA,2009,63.044865
Luxembourg,LUX,2009,356.03018
Lithuania,LTU,2009,138.47289
Sri Lanka,LKA,2009,0.47737262
Kuwait,KWT,2009,0
South Korea,KOR,2009,39.392292
Kazakhstan,KAZ,2009,0
Japan,JPN,2009,74.70879
Italy,ITA,2009,306.78043
Israel,ISR,2009,3.4916558
Iceland,ISL,2009,0
Iraq,IRQ,2009,0
Iran,IRN,2009,8.499577
Ireland,IRL,2009,1834.4285
India,IND,2009,37.135277
Indonesia,IDN,2009,0.042534422
Hungary,HUN,2009,92.35952
Croatia,HRV,2009,34.413853
Hong Kong,HKG,2009,0.4306875
Greece,GRC,2009,642.38293
United Kingdom,GBR,2009,416.41504
France,FRA,2009,355.8506
Finland,FIN,2009,144.68837
Estonia,EST,2009,408.0597
Spain,ESP,2009,2281.9126
Egypt,EGY,2009,33.877754
Ecuador,ECU,2009,0.6067005
Algeria,DZA,2009,0
Denmark,DNK,2009,3396.105
Germany,DEU,2009,1354.7607
Czechia,CZE,2009,77.19492
Cyprus,CYP,2009,0.89510643
Colombia,COL,2009,3.6368122
China,CHN,2009,57.590366
Chile,CHL,2009,13.108654
Switzerland,CHE,2009,8.304779
Canada,CAN,2009,552.13025
Brazil,BRA,2009,17.774115
Belarus,BLR,2009,0.28752193
Bulgaria,BGR,2009,86.692276
Bangladesh,BGD,2009,0.097132504
Belgium,BEL,2009,257.51773
Azerbaijan,AZE,2009,0.64269173
Austria,AUT,2009,654.09467
Australia,AUS,2009,572.15344
Argentina,ARG,2009,2.5282383
United Arab Emirates,ARE,2009,0
South Africa,ZAF,2008,1.1670159
Vietnam,VNM,2008,0.055816963
Venezuela,VEN,2008,0
Uzbekistan,UZB,2008,0
United States,USA,2008,514.05817
Ukraine,UKR,2008,2.7452114
Taiwan,TWN,2008,71.87737
Turkey,TUR,2008,33.352356
Trinidad and Tobago,TTO,2008,0
Turkmenistan,TKM,2008,0
Thailand,THA,2008,0.020133534
Sweden,SWE,2008,607.7262
Slovenia,SVN,2008,0
Slovakia,SVK,2008,3.6543994
Singapore,SGP,2008,0
Saudi Arabia,SAU,2008,0
Russia,RUS,2008,0.102113806
Romania,ROU,2008,0.68239075
Qatar,QAT,2008,0
Portugal,PRT,2008,1528.9254
Poland,POL,2008,61.055103
Philippines,PHL,2008,1.8903444
Peru,PER,2008,0.11668019
Pakistan,PAK,2008,0
Oman,OMN,2008,0
New Zealand,NZL,2008,698.1604
Norway,NOR,2008,538.0099
Netherlands,NLD,2008,726.95013
Malaysia,MYS,2008,0
North Macedonia,MKD,2008,0
Mexico,MEX,2008,6.5329623
Morocco,MAR,2008,26.488367
Latvia,LVA,2008,75.79171
Luxembourg,LUX,2008,348.43146
Lithuania,LTU,2008,114.25395
Sri Lanka,LKA,2008,0.44914088
Kuwait,KWT,2008,0
South Korea,KOR,2008,25.316433
Kazakhstan,KAZ,2008,0
Japan,JPN,2008,64.614105
Italy,ITA,2008,230.64366
Israel,ISR,2008,3.5730681
Iceland,ISL,2008,0
Iraq,IRQ,2008,0
Iran,IRN,2008,7.5043845
Ireland,IRL,2008,1521.3158
India,IND,2008,33.481735
Indonesia,IDN,2008,0.003187124
Hungary,HUN,2008,57.47109
Croatia,HRV,2008,25.582787
Hong Kong,HKG,2008,0.3214823
Greece,GRC,2008,568.93317
United Kingdom,GBR,2008,323.0156
France,FRA,2008,259.23868
Finland,FIN,2008,137.76974
Estonia,EST,2008,279.5319
Spain,ESP,2008,2014.0774
Egypt,EGY,2008,31.162687
Ecuador,ECU,2008,0.5192717
Algeria,DZA,2008,0
Denmark,DNK,2008,3537.7788
Germany,DEU,2008,1431.887
Czechia,CZE,2008,66.243286
Cyprus,CYP,2008,0.91541386
Colombia,COL,2008,3.457993
China,CHN,2008,27.674536
Chile,CHL,2008,6.429707
Switzerland,CHE,2008,6.9899316
Canada,CAN,2008,320.482
Brazil,BRA,2008,17.253637
Belarus,BLR,2008,0.28663716
Bulgaria,BGR,2008,44.668552
Bangladesh,BGD,2008,0.05596764
Belgium,BEL,2008,166.87364
Azerbaijan,AZE,2008,0
Austria,AUT,2008,679.2043
Australia,AUS,2008,457.3843
Argentina,ARG,2008,2.9270914
United Arab Emirates,ARE,2008,0
South Africa,ZAF,2007,0.6786807
Vietnam,VNM,2007,0
Venezuela,VEN,2007,0
Uzbekistan,UZB,2007,0
United States,USA,2007,325.01218
Ukraine,UKR,2007,2.747455
Taiwan,TWN,2007,54.172253
Turkey,TUR,2007,14.088176
Trinidad and Tobago,TTO,2007,0
Turkmenistan,TKM,2007,0
Thailand,THA,2007,0.016668307
Sweden,SWE,2007,441.22403
Slovenia,SVN,2007,0
Slovakia,SVK,2007,4.204074
Singapore,SGP,2007,0
Saudi Arabia,SAU,2007,0
Russia,RUS,2007,0.13042879
Romania,ROU,2007,0.4084135
Qatar,QAT,2007,0
Portugal,PRT,2007,1080.4084
Poland,POL,2007,38.31637
Philippines,PHL,2007,1.8261809
Peru,PER,2007,0.118491046
Pakistan,PAK,2007,0
Oman,OMN,2007,0
New Zealand,NZL,2007,622.8475
Norway,NOR,2007,535.5545
Netherlands,NLD,2007,592.91046
Malaysia,MYS,2007,0
North Macedonia,MKD,2007,0
Mexico,MEX,2007,6.4748907
Morocco,MAR,2007,25.249987
Latvia,LVA,2007,68.8694
Luxembourg,LUX,2007,378.79785
Lithuania,LTU,2007,91.67861
Sri Lanka,LKA,2007,0.32511035
Kuwait,KWT,2007,0
South Korea,KOR,2007,22.027313
Kazakhstan,KAZ,2007,0
Japan,JPN,2007,60.525723
Italy,ITA,2007,194.06119
Israel,ISR,2007,4.0673304
Iceland,ISL,2007,0
Iraq,IRQ,2007,0
Iran,IRN,2007,5.5090547
Ireland,IRL,2007,1270.3505
India,IND,2007,27.767302
Indonesia,IDN,2007,0.00024128
Hungary,HUN,2007,30.9763
Croatia,HRV,2007,22.464128
Hong Kong,HKG,2007,0.34953067
Greece,GRC,2007,463.47375
United Kingdom,GBR,2007,243.42459
France,FRA,2007,187.64934
Finland,FIN,2007,100.728806
Estonia,EST,2007,191.94258
Spain,ESP,2007,1722.8535
Egypt,EGY,2007,22.782135
Ecuador,ECU,2007,0.1908136
Algeria,DZA,2007,0
Denmark,DNK,2007,3700.4497
Germany,DEU,2007,1410.8529
Czechia,CZE,2007,34.217014
Cyprus,CYP,2007,0.9363804
Colombia,COL,2007,3.257536
China,CHN,2007,11.723956
Chile,CHL,2007,1.919879
Switzerland,CHE,2007,5.9987392
Canada,CAN,2007,258.7586
Brazil,BRA,2007,9.823362
Belarus,BLR,2007,0.28835094
Bulgaria,BGR,2007,17.216925
Bangladesh,BGD,2007,0.03141325
Belgium,BEL,2007,130.31737
Azerbaijan,AZE,2007,0
Austria,AUT,2007,694.4643
Australia,AUS,2007,387.1501
Argentina,ARG,2007,4.3675685
United Arab Emirates,ARE,2007,0
South Africa,ZAF,2006,0.68990713
Vietnam,VNM,2006,0
Venezuela,VEN,2006,0
Uzbekistan,UZB,2006,0
United States,USA,2006,254.94672
Ukraine,UKR,2006,2.1374483
Taiwan,TWN,2006,34.340782
Turkey,TUR,2006,5.335031
Trinidad and Tobago,TTO,2006,0
Turkmenistan,TKM,2006,0
Thailand,THA,2006,0.005612558
Sweden,SWE,2006,308.45682
Slovenia,SVN,2006,0
Slovakia,SVK,2006,3.1769712
Singapore,SGP,2006,0
Saudi Arabia,SAU,2006,0
Russia,RUS,2006,0.10329072
Romania,ROU,2006,0.1355052
Qatar,QAT,2006,0
Portugal,PRT,2006,789.3447
Poland,POL,2006,18.896936
Philippines,PHL,2006,1.7232289
Peru,PER,2006,0.120385356
Pakistan,PAK,2006,0
Oman,OMN,2006,0
New Zealand,NZL,2006,423.55615
Norway,NOR,2006,388.25275
Netherlands,NLD,2006,476.50922
Malaysia,MYS,2006,0
North Macedonia,MKD,2006,0
Mexico,MEX,2006,1.1979342
Morocco,MAR,2006,16.906485
Latvia,LVA,2006,59.389084
Luxembourg,LUX,2006,349.26523
Lithuania,LTU,2006,11.731172
Sri Lanka,LKA,2006,0.32991055
Kuwait,KWT,2006,0
South Korea,KOR,2006,14.147925
Kazakhstan,KAZ,2006,0
Japan,JPN,2006,47.49676
Italy,ITA,2006,144.681
Israel,ISR,2006,4.164787
Iceland,ISL,2006,0
Iraq,IRQ,2006,0
Iran,IRN,2006,5.0021086
Ireland,IRL,2006,1090.0596
India,IND,2006,22.662054
Indonesia,IDN,2006,0
Hungary,HUN,2006,12.165829
Croatia,HRV,2006,12.238148
Hong Kong,HKG,2006,0.2837399
Greece,GRC,2006,435.2873
United Kingdom,GBR,2006,198.23027
France,FRA,2006,101.916595
Finland,FIN,2006,82.50528
Estonia,EST,2006,161.21086
Spain,ESP,2006,1492.2372
Egypt,EGY,2006,21.352467
Ecuador,ECU,2006,0
Algeria,DZA,2006,0
Denmark,DNK,2006,3184.3257
Germany,DEU,2006,1097.9534
Czechia,CZE,2006,13.633613
Cyprus,CYP,2006,0.95799506
Colombia,COL,2006,4.1897426
China,CHN,2006,8.043358
Chile,CHL,2006,1.2192953
Switzerland,CHE,2006,5.7098365
Canada,CAN,2006,216.30708
Brazil,BRA,2006,3.571435
Belarus,BLR,2006,0.28692853
Bulgaria,BGR,2006,7.3278084
Bangladesh,BGD,2006,0.03193993
Belgium,BEL,2006,98.405075
Azerbaijan,AZE,2006,0
Austria,AUT,2006,603.2346
Australia,AUS,2006,300.5834
Argentina,ARG,2006,5.019495
United Arab Emirates,ARE,2006,0
South Africa,ZAF,2005,0.70099604
Vietnam,VNM,2005,0
Venezuela,VEN,2005,0
Uzbekistan,UZB,2005,0
United States,USA,2005,173.54012
Ukraine,UKR,2005,2.3194127
Taiwan,TWN,2005,11.46812
Turkey,TUR,2005,2.4589489
Trinidad and Tobago,TTO,2005,0
Turkmenistan,TKM,2005,0
Thailand,THA,2005,0
Sweden,SWE,2005,300.20523
Slovenia,SVN,2005,0
Slovakia,SVK,2005,3.7303977
Singapore,SGP,2005,0
Saudi Arabia,SAU,2005,0
Russia,RUS,2005,0.1354118
Romania,ROU,2005,0
Qatar,QAT,2005,0
Portugal,PRT,2005,482.43665
Poland,POL,2005,10.020782
Philippines,PHL,2005,0.5798793
Peru,PER,2005,0.12237228
Pakistan,PAK,2005,0
Oman,OMN,2005,0
New Zealand,NZL,2005,425.6796
Norway,NOR,2005,313.9995
Netherlands,NLD,2005,363.96115
Malaysia,MYS,2005,0
North Macedonia,MKD,2005,0
Mexico,MEX,2005,0.5159663
Morocco,MAR,2005,19.411283
